_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
13908,SC,432,Toronto,May-13
13909,ET,93,Outside City Limits,Jun-13
13910,ET,506,Toronto,Jun-13
13911,NY,66,Outside City Limits,Jun-13
13912,NY,236,Toronto,Jun-13
13913,SC,54,Outside City Limits,Jun-13
13914,SC,255,Toronto,Jun-13
13915,ET,193,Outside City Limits,Jul-13
13916,ET,732,Toronto,Jul-13
13917,NY,55,Outside City Limits,Jul-13
13918,NY,276,Toronto,Jul-13
13919,SC,58,Outside City Limits,Jul-13
13920,SC,346,Toronto,Jul-13
13921,ET,116,Outside City Limits,Aug-13
13922,ET,379,Toronto,Aug-13
13923,NY,83,Outside City Limits,Aug-13
13924,NY,290,Toronto,Aug-13
13925,SC,33,Outside City Limits,Aug-13
13926,SC,217,Toronto,Aug-13
13927,ET,150,Outside City Limits,Sep-13
13928,ET,449,Toronto,Sep-13
13929,NY,109,Outside City Limits,Sep-13
13930,NY,487,Toronto,Sep-13
13931,SC,83,Outside City Limits,Sep-13
13932,SC,338,Toronto,Sep-13
13933,ET,111,Outside City Limits,Oct-13
13934,ET,414,Toronto,Oct-13
13935,NY,98,Outside City Limits,Oct-13
13936,NY,390,Toronto,Oct-13
13937,SC,82,Outside City Limits,Oct-13
13938,SC,433,Toronto,Oct-13
13939,ET,99,Outside City Limits,Nov-13
13940,ET,338,Toronto,Nov-13
13941,NY,60,Outside City Limits,Nov-13
13942,NY,277,Toronto,Nov-13
13943,SC,86,Outside City Limits,Nov-13
13944,SC,398,Toronto,Nov-13
13945,ET,66,Outside City Limits,Dec-13
13946,ET,432,Toronto,Dec-13
13947,NY,95,Outside City Limits,Dec-13
13948,NY,331,Toronto,Dec-13
13949,SC,81,Outside City Limits,Dec-13
13950,SC,318,Toronto,Dec-13
13951,ET,215,Outside City Limits,Jan-14
13952,ET,569,Toronto,Jan-14
13953,NY,149,Outside City Limits,Jan-14
13954,NY,503,Toronto,Jan-14
13955,SC,104,Outside City Limits,Jan-14
13956,SC,555,Toronto,Jan-14
13957,ET,136,Outside City Limits,Feb-14
13958,ET,379,Toronto,Feb-14
13959,NY,93,Outside City Limits,Feb-14
13960,NY,381,Toronto,Feb-14
13961,SC,66,Outside City Limits,Feb-14
13962,SC,335,Toronto,Feb-14
13963,ET,112,Outside City Limits,Mar-14
13964,ET,394,Toronto,Mar-14
13965,NY,158,Outside City Limits,Mar-14
13966,NY,618,Toronto,Mar-14
13967,SC,90,Outside City Limits,Mar-14
13968,SC,410,Toronto,Mar-14
13969,ET,112,Outside City Limits,Apr-14
13970,ET,352,Toronto,Apr-14
13971,NY,115,Outside City Limits,Apr-14
13972,NY,518,Toronto,Apr-14
13973,SC,59,Outside City Limits,Apr-14
13974,SC,402,Toronto,Apr-14
13975,ET,78,Outside City Limits,May-14
13976,ET,330,Toronto,May-14
13977,NY,63,Outside City Limits,May-14
13978,NY,296,Toronto,May-14
13979,SC,108,Outside City Limits,May-14
13980,SC,398,Toronto,May-14
13981,ET,95,Outside City Limits,Jun-14
13982,ET,371,Toronto,Jun-14
13983,NY,99,Outside City Limits,Jun-14
13984,NY,404,Toronto,Jun-14
13985,SC,63,Outside City Limits,Jun-14
13986,SC,390,Toronto,Jun-14
13987,ET,116,Outside City Limits,Jul-14
13988,ET,393,Toronto,Jul-14
13989,NY,119,Outside City Limits,Jul-14
13990,NY,454,Toronto,Jul-14
13991,SC,44,Outside City Limits,Jul-14
13992,SC,258,Toronto,Jul-14
13993,ET,80,Outside City Limits,Aug-14
13994,ET,301,Toronto,Aug-14
13995,NY,103,Outside City Limits,Aug-14
13996,NY,277,Toronto,Aug-14
13997,SC,120,Outside City Limits,Aug-14
13998,SC,518,Toronto,Aug-14
13999,ET,105,Outside City Limits,Sep-14
14000,ET,274,Toronto,Sep-14
14001,NY,94,Outside City Limits,Sep-14
14002,NY,391,Toronto,Sep-14
14003,SC,96,Outside City Limits,Sep-14
14004,SC,427,Toronto,Sep-14
14005,ET,92,Outside City Limits,Oct-14
14006,ET,297,Toronto,Oct-14
14007,NY,59,Outside City Limits,Oct-14
14008,NY,454,Toronto,Oct-14
14009,SC,81,Outside City Limits,Oct-14
14010,SC,459,Toronto,Oct-14
14011,ET,138,Outside City Limits,Nov-14
