_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
14400,TO,252,Toronto,Feb-20
14401,ET,86,Outside City Limits,Mar-20
14402,ET,269,Toronto,Mar-20
14403,NY,30,Outside City Limits,Mar-20
14404,NY,184,Toronto,Mar-20
14405,SC,57,Outside City Limits,Mar-20
14406,SC,232,Toronto,Mar-20
14407,TO,9,Outside City Limits,Mar-20
14408,TO,29,Toronto,Mar-20
14409,SC,184,Outside City Limits,Apr-20
14410,SC,662,Toronto,Apr-20
14411,TO,1,Toronto,Apr-20
14412,ET,239,Outside City Limits,May-20
14413,ET,770,Toronto,May-20
14414,NY,74,Outside City Limits,May-20
14415,NY,356,Toronto,May-20
14416,SC,393,Outside City Limits,May-20
14417,SC,1455,Toronto,May-20
14418,TO,14,Outside City Limits,May-20
14419,TO,128,Toronto,May-20
14420,ET,190,Outside City Limits,Jun-20
14421,ET,567,Toronto,Jun-20
14422,NY,32,Outside City Limits,Jun-20
14423,NY,210,Toronto,Jun-20
14424,SC,5,Outside City Limits,Jun-20
14425,SC,29,Toronto,Jun-20
14426,TO,61,Outside City Limits,Jun-20
14427,TO,255,Toronto,Jun-20
14428,ET,187,Outside City Limits,Jul-20
14429,ET,647,Toronto,Jul-20
14430,NY,24,Outside City Limits,Jul-20
14431,NY,187,Toronto,Jul-20
14432,TO,72,Outside City Limits,Jul-20
14433,TO,272,Toronto,Jul-20
14434,ET,186,Outside City Limits,Aug-20
14435,ET,507,Toronto,Aug-20
14436,NY,46,Outside City Limits,Aug-20
14437,NY,200,Toronto,Aug-20
14438,TO,12,Outside City Limits,Aug-20
14439,TO,86,Toronto,Aug-20
14440,ET,39,Outside City Limits,Sep-20
14441,ET,194,Toronto,Sep-20
14442,NY,1,Outside City Limits,Sep-20
14443,NY,2,Toronto,Sep-20
14444,SC,40,Outside City Limits,Sep-20
14445,SC,140,Toronto,Sep-20
14446,TO,156,Outside City Limits,Sep-20
14447,TO,534,Toronto,Sep-20
14448,ET,164,Outside City Limits,Oct-20
14449,ET,375,Toronto,Oct-20
14450,NY,1,Outside City Limits,Oct-20
14451,NY,2,Toronto,Oct-20
14452,SC,79,Outside City Limits,Oct-20
14453,SC,162,Toronto,Oct-20
14454,TO,220,Outside City Limits,Oct-20
14455,TO,683,Toronto,Oct-20
14456,ET,322,Outside City Limits,Nov-20
14457,ET,1239,Toronto,Nov-20
14458,NY,5,Outside City Limits,Nov-20
14459,NY,24,Toronto,Nov-20
14460,SC,12,Outside City Limits,Nov-20
14461,SC,39,Toronto,Nov-20
14462,TO,39,Outside City Limits,Nov-20
14463,TO,147,Toronto,Nov-20
14464,ET,171,Outside City Limits,Dec-20
14465,ET,833,Toronto,Dec-20
14466,SC,3,Toronto,Dec-20
14467,TO,1,Outside City Limits,Dec-20
14468,TO,16,Toronto,Dec-20
