_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
8684,SC,160,Nov-17
8685,TO,393,Nov-17
8686,ET,114,Dec-17
8687,NY,156,Dec-17
8688,SC,132,Dec-17
8689,TO,385,Dec-17
8690,ET,128,Jan-18
8691,NY,156,Jan-18
8692,SC,156,Jan-18
8693,TO,375,Jan-18
8694,ET,145,Feb-18
8695,NY,182,Feb-18
8696,SC,149,Feb-18
8697,TO,344,Feb-18
8698,ET,177,Mar-18
8699,NY,235,Mar-18
8700,SC,187,Mar-18
8701,TO,538,Mar-18
8702,ET,188,Apr-18
8703,NY,238,Apr-18
8704,SC,239,Apr-18
8705,TO,657,Apr-18
8706,ET,229,May-18
8707,NY,337,May-18
8708,SC,302,May-18
8709,TO,880,May-18
8710,ET,279,Jun-18
8711,NY,337,Jun-18
8712,SC,338,Jun-18
8713,TO,964,Jun-18
8714,ET,324,Jul-18
8715,NY,408,Jul-18
8716,SC,347,Jul-18
8717,TO,1090,Jul-18
8718,ET,365,Aug-18
8719,NY,323,Aug-18
8720,SC,392,Aug-18
8721,TO,1117,Aug-18
8722,ET,209,Sep-18
8723,NY,256,Sep-18
8724,SC,216,Sep-18
8725,TO,719,Sep-18
8726,ET,187,Oct-18
8727,NY,227,Oct-18
8728,SC,186,Oct-18
8729,TO,582,Oct-18
8730,ET,140,Nov-18
8731,NY,199,Nov-18
8732,SC,169,Nov-18
8733,TO,397,Nov-18
8734,ET,108,Dec-18
8735,NY,157,Dec-18
8736,SC,123,Dec-18
8737,TO,329,Dec-18
8738,ET,123,Jan-19
8739,NY,162,Jan-19
8740,SC,151,Jan-19
8741,TO,341,Jan-19
8742,ET,143,Feb-19
8743,NY,190,Feb-19
8744,SC,158,Feb-19
8745,TO,382,Feb-19
8746,ET,170,Mar-19
8747,NY,236,Mar-19
8748,SC,240,Mar-19
8749,TO,576,Mar-19
8750,ET,193,Apr-19
8751,NY,290,Apr-19
8752,SC,237,Apr-19
8753,TO,724,Apr-19
8754,ET,235,May-19
8755,NY,336,May-19
8756,SC,285,May-19
8757,TO,879,May-19
8758,ET,242,Jun-19
8759,NY,315,Jun-19
8760,SC,280,Jun-19
8761,TO,901,Jun-19
8762,ET,308,Jul-19
8763,NY,407,Jul-19
8764,SC,323,Jul-19
8765,TO,1079,Jul-19
8766,ET,281,Aug-19
8767,NY,384,Aug-19
8768,SC,329,Aug-19
8769,TO,1011,Aug-19
8770,ET,220,Sep-19
8771,NY,247,Sep-19
8772,SC,221,Sep-19
8773,TO,738,Sep-19
8774,ET,150,Oct-19
8775,NY,228,Oct-19
8776,SC,172,Oct-19
8777,TO,576,Oct-19
8778,ET,120,Nov-19
8779,NY,198,Nov-19
8780,SC,156,Nov-19
8781,TO,433,Nov-19
8782,ET,122,Dec-19
8783,NY,187,Dec-19
8784,SC,153,Dec-19
8785,TO,393,Dec-19
8786,ET,130,Jan-20
8787,NY,168,Jan-20
8788,SC,171,Jan-20
8789,TO,426,Jan-20
8790,ET,130,Feb-20
8791,NY,184,Feb-20
8792,SC,160,Feb-20
8793,TO,434,Feb-20
8794,ET,101,Mar-20
8795,NY,122,Mar-20
8796,SC,99,Mar-20
8797,TO,294,Mar-20
8798,TO,47,Apr-20
8799,TO,123,May-20
8800,NY,167,Jun-20
8801,SC,222,Jun-20
8802,TO,248,Jun-20
8803,NY,718,Jul-20
8804,SC,782,Jul-20
8805,NY,776,Aug-20
8806,SC,637,Aug-20
8807,NY,864,Sep-20
8808,SC,569,Sep-20
8809,NY,536,Oct-20
8810,SC,581,Oct-20
8811,NY,366,Nov-20
8812,SC,320,Nov-20
8813,NY,168,Dec-20
8814,SC,200,Dec-20
